cycle,capacity,SOH
6,1.485650062,0.742825031
7,1.48667022,0.74333511
8,1.470133096,0.735066548
9,1.45650418,0.72825209
10,1.441896104,0.720948052
11,1.437094959,0.71854748
12,1.445870362,0.722935181
13,1.432104055,0.716052028
14,1.426720633,0.713360317
15,1.423084689,0.711542345
16,1.440947952,0.720473976
17,1.486901544,0.743450772
18,1.524531323,0.762265662
19,1.462904961,0.731452481
20,1.423079451,0.711539726
21,1.405104086,0.702552043
24,1.514952097,0.757476049
25,1.485518294,0.742759147
26,1.480771929,0.740385965
27,1.484026357,0.742013179
28,1.492215306,0.746107653
29,1.473312924,0.736656462
30,1.441593179,0.72079659
31,1.42258732,0.71129366
32,1.426648938,0.713324469
33,1.459677556,0.729838778
34,1.439615994,0.719807997
35,1.419551266,0.709775633
36,1.411810171,0.705905086
37,1.40441967,0.702209835
38,1.47350591,0.736752955
39,1.492658601,0.746329301
40,1.482026015,0.741013008
41,1.423575358,0.711787679
42,1.40382522,0.70191261
43,1.536317348,0.768158674
44,1.544036717,0.772018359
45,1.507892155,0.753946078
48,1.533070465,0.766535233
49,1.486214309,0.743107155
50,1.502931885,0.751465943
51,1.520218541,0.760109271
52,1.511819474,0.755909737
53,1.464601302,0.732300651
54,1.454614096,0.727307048
55,1.433340049,0.716670025
56,1.449326235,0.724663118
57,1.495199822,0.747599911
58,1.472059024,0.736029512
59,1.409738301,0.704869151
60,1.386194418,0.693097209
61,1.362412541,0.681206271
62,1.447137745,0.723568873
63,1.455448339,0.72772417
64,1.442395217,0.721197609
65,1.377541946,0.688770973
66,1.353993589,0.676996795
67,1.550903886,0.775451943
69,1.506752661,0.753376331
70,1.444138733,0.722069367
71,1.414410381,0.707205191
72,1.389757421,0.694878711
73,1.449968311,0.724984156
74,1.467865307,0.733932654
75,1.429064431,0.714532216
76,1.376744835,0.688372418
77,1.351581326,0.675790663
78,1.353993473,0.676996737
79,1.357716512,0.678858256
80,1.334169315,0.667084658
81,1.337214789,0.668607395
82,1.339045224,0.669522612
83,1.34392446,0.67196223
84,1.345478619,0.67273931
85,1.348226303,0.674113152
86,1.33731923,0.668659615
87,1.340252334,0.670126167
88,1.329096568,0.664548284
89,1.332348566,0.666174283
90,1.350154131,0.675077066
91,1.381523441,0.690761721
92,1.383597195,0.691798598
93,1.330116186,0.665058093
94,1.317698212,0.658849106
95,1.306365772,0.653182886
96,1.338156738,0.669078369
97,1.356325809,0.678162905
98,1.364899753,0.682449877
99,1.333763998,0.666881999
100,1.306012367,0.653006184
101,1.310186836,0.655093418
102,1.356766894,0.678383447
103,1.391685743,0.695842872
104,1.362993508,0.681496754
105,1.321171197,0.660585599
106,1.307486902,0.653743451
107,1.31058819,0.655294095
108,1.376312668,0.688156334
109,1.391764929,0.695882465
110,1.364974635,0.682487318
111,1.321909394,0.660954697
112,1.309003389,0.654501695
113,1.332700572,0.666350286
115,1.377347563,0.688673782
116,1.348759888,0.674379944
117,1.350150456,0.675075228
118,1.338781488,0.669390744
119,1.325337121,0.662668561
120,1.33081606,0.66540803
121,1.333083377,0.666541689
122,1.333322653,0.666661327
123,1.32642811,0.663214055
124,1.323971041,0.661985521
125,1.324936423,0.662468212
126,1.328306768,0.664153384
127,1.314584349,0.657292175
128,1.31668418,0.65834209
129,1.304172765,0.652086383
130,1.353445007,0.676722504
131,1.371294083,0.685647042
132,1.357699322,0.678849661
133,1.328690309,0.664345155
134,1.314394327,0.657197164
135,1.386678303,0.693339152
136,1.386833046,0.693416523
137,1.354803738,0.677401869
138,1.325578767,0.662789384
139,1.311972868,0.655986434
140,1.306448795,0.653224398
141,1.341843188,0.670921594
142,1.360921017,0.680460509
143,1.329960368,0.664980184
144,1.299069388,0.649534694
145,1.298454437,0.649227219
146,1.317648609,0.658824305
147,1.336064856,0.668032428
148,1.363579736,0.681789868
149,1.333311254,0.666655627
150,1.302327346,0.651163673
151,1.288872844,0.644436422
152,1.290274619,0.64513731
153,1.292407566,0.646203783
154,1.295409151,0.647704576
155,1.283229882,0.641614941
156,1.455745402,0.727872701
157,1.454676343,0.727338172
158,1.423427718,0.711713859
159,1.39255121,0.696275605
160,1.376573249,0.688286625
161,1.381019083,0.690509542
162,1.400756832,0.700378416
163,1.374645303,0.687322652
164,1.334592411,0.667296206
165,1.336396622,0.668198311
166,1.306915297,0.653457649
167,1.341539457,0.670769729
168,1.34638897,0.673194485
169,1.344989807,0.672494904
170,1.315876081,0.657938041
171,1.297276689,0.648638345
172,1.285125521,0.642562761
173,1.319020916,0.659510458
174,1.341009785,0.670504893
175,1.326126984,0.663063492
176,1.309144268,0.654572134
177,1.36300129,0.681500645
178,1.329285702,0.664642851
179,1.296908593,0.648454297
180,1.298628592,0.649314296
181,1.284065761,0.642032881
182,1.302101591,0.651050796
183,1.308907635,0.654453818
191,1.286847943,0.643423972
193,1.345982533,0.672991267
194,1.328687532,0.664343766
195,1.31203072,0.65601536
196,1.295125493,0.647562747
