cycle,capacity,SOH
7,1.82120119,0.910600595
8,1.815170011,0.907585006
9,1.804298052,0.902149026
11,1.812125352,0.906062676
12,1.804691638,0.902345819
13,1.79084435,0.895422175
14,1.783470723,0.891735362
15,1.780938613,0.890469307
16,1.77120904,0.88560452
17,1.7686304,0.8843152
18,1.75363048,0.87681524
19,1.746219742,0.873109871
20,1.737664734,0.868832367
21,1.731516674,0.865758337
22,1.708594989,0.854297495
23,1.711469957,0.855734979
24,1.707502137,0.853751069
25,1.749238206,0.874619103
26,1.732769715,0.866384858
27,1.722231333,0.861115667
28,1.711846299,0.85592315
29,1.699267835,0.849633918
30,1.694036644,0.847018322
31,1.681902708,0.840951354
32,1.676977062,0.838488531
33,1.665522931,0.832761466
34,1.657192458,0.828596229
35,1.648224156,0.824112078
36,1.63877015,0.819385075
37,1.627648691,0.813824346
38,1.622153702,0.811076851
39,1.614006651,0.807003326
40,1.676051615,0.838025808
41,1.649300643,0.824650322
42,1.632382992,0.816191496
43,1.616415972,0.808207986
44,1.610902838,0.805451419
45,1.595463869,0.797731935
46,1.72670744,0.86335372
47,1.716567392,0.858283696
48,1.695823557,0.847911779
49,1.677778319,0.83888916
50,1.66065869,0.830329345
51,1.666410927,0.833205464
52,1.646833617,0.823416809
53,1.625763993,0.812881997
54,1.612157741,0.806078871
55,1.605736682,0.802868341
56,1.673645315,0.836822658
57,1.640434857,0.820217429
58,1.613265332,0.806632666
59,1.592096432,0.796048216
60,1.586601182,0.793300591
61,1.580076649,0.790038325
62,1.564173295,0.782086648
63,1.555618272,0.777809136
64,1.540204528,0.770102264
65,1.532161302,0.766080651
66,1.53162324,0.76581162
67,1.522259595,0.761129798
68,1.506526713,0.753263357
69,1.501421956,0.750710978
70,1.496353412,0.748176706
71,1.5334262,0.7667131
72,1.523845268,0.761922634
73,1.501192099,0.75059605
74,1.492417671,0.746208836
75,1.483323852,0.741661926
76,1.480737679,0.74036884
77,1.473507781,0.736753891
78,1.468019285,0.734009643
79,1.458092356,0.729046178
80,1.447866099,0.72393305
81,1.452780878,0.726390439
82,1.442535636,0.721267818
83,1.439271288,0.719635644
84,1.428647568,0.714323784
85,1.424902675,0.712451338
86,1.469811532,0.734905766
87,1.452581965,0.726290983
88,1.442834199,0.7214171
89,1.428376059,0.71418803
90,1.415454784,0.707727392
91,1.45457667,0.727288335
92,1.428317955,0.714158978
93,1.419702688,0.709851344
94,1.415560663,0.707780332
95,1.405680035,0.702840018
96,1.408446107,0.704223054
97,1.396854778,0.698427389
98,1.393567037,0.696783519
99,1.389364429,0.694682215
100,1.378565142,0.689282571
101,1.38490111,0.692450555
102,1.370325181,0.685162591
103,1.373346439,0.68667322
104,1.367948729,0.683974365
106,1.460431021,0.730215511
107,1.450099894,0.725049947
108,1.43814069,0.719070345
109,1.428368198,0.714184099
110,1.414787452,0.707393726
111,1.413889163,0.706944582
112,1.398933166,0.699466583
113,1.395332258,0.697666129
114,1.39004613,0.695023065
115,1.386027145,0.693013573
116,1.38821526,0.69410763
117,1.376182656,0.688091328
118,1.36471689,0.682358445
121,1.426842782,0.713421391
122,1.406448148,0.703224074
123,1.393490749,0.696745375
124,1.388249351,0.694124676
125,1.370187834,0.685093917
126,1.379695167,0.689847584
127,1.368658632,0.684329316
129,1.363405113,0.681702557
