cycle,capacity,SOH
2,1.880637028,0.940318514
5,1.879450873,0.939725437
7,1.879935252,0.939967626
9,1.869690787,0.934845394
10,1.87005238,0.93502619
11,1.870044239,0.93502212
12,1.859651899,0.92982595
13,1.859074656,0.929537328
14,1.859008458,0.929504229
15,1.859362259,0.92968113
16,1.858735545,0.929367773
17,1.847817291,0.923908646
18,1.848525292,0.924262646
19,1.848378952,0.924189476
23,1.871008965,0.935504483
24,1.870199515,0.935099758
25,1.870671536,0.935335768
26,1.859612464,0.929806232
27,1.86003391,0.930016955
28,1.859165311,0.929582656
29,1.848139818,0.924069909
30,1.849201702,0.924600851
32,1.862821112,0.931410556
33,1.85208504,0.92604252
34,1.846950465,0.923475233
35,1.836828431,0.918414216
36,1.837161962,0.918580981
37,1.831672258,0.915836129
38,1.821147095,0.910573548
39,1.816506092,0.908253046
40,1.81138156,0.90569078
41,1.811605633,0.905802817
42,1.806054896,0.903027448
43,1.813204183,0.906602092
44,1.806264194,0.903132097
45,1.795831025,0.897915513
46,1.78588526,0.89294263
47,1.78032686,0.89016343
48,1.81507569,0.907537845
49,1.815702515,0.907851258
50,1.800243218,0.900121609
51,1.790447621,0.895223811
52,1.780343032,0.890171516
53,1.77532877,0.887664385
54,1.770262973,0.885131487
55,1.760081062,0.880040531
56,1.749647594,0.874823797
57,1.749650075,0.874825038
58,1.745028739,0.87251437
59,1.739645746,0.869822873
60,1.728564228,0.864282114
61,1.723900325,0.861950163
62,1.713978878,0.856989439
63,1.7139702,0.8569851
64,1.703652117,0.851826059
65,1.704013747,0.852006874
66,1.693571616,0.846785808
67,1.687657736,0.843828868
68,1.683074436,0.841537218
69,1.677927014,0.838963507
70,1.673206028,0.836603014
71,1.667436721,0.833718361
72,1.662266263,0.831133132
73,1.657424307,0.828712154
74,1.652538685,0.826269343
75,1.647217463,0.823608732
76,1.636413681,0.818206841
77,1.636255431,0.818127716
78,1.641119179,0.82055959
79,1.631570079,0.81578504
80,1.621213283,0.810606642
81,1.616427321,0.808213661
82,1.61582351,0.807911755
83,1.61672418,0.80836209
84,1.610865586,0.805432793
85,1.600660337,0.800330169
86,1.595917449,0.797958725
87,1.596217952,0.798108976
88,1.595806511,0.797903256
89,1.590650782,0.795325391
90,1.688821116,0.844410558
91,1.625993828,0.812996914
92,1.615743386,0.807871693
93,1.605662676,0.802831338
94,1.594974692,0.797487346
95,1.590410244,0.795205122
96,1.585351706,0.792675853
97,1.579973715,0.789986858
98,1.575218547,0.787609274
99,1.569798485,0.784899243
100,1.570256538,0.785128269
101,1.565249874,0.782624937
102,1.559633934,0.779816967
103,1.564982053,0.782491027
104,1.5749795,0.78748975
105,1.565281117,0.782640559
106,1.559755497,0.779877749
107,1.549897686,0.774948843
108,1.543877153,0.771938577
109,1.545018749,0.772509375
110,1.544594015,0.772297008
111,1.534308672,0.767154336
112,1.528760394,0.764380197
113,1.528926025,0.764463013
114,1.52909165,0.764545825
115,1.523905932,0.761952966
116,1.518667542,0.759333771
117,1.513648227,0.756824114
118,1.513605019,0.75680251
119,1.513947061,0.756973531
120,1.533959919,0.76697996
121,1.53913728,0.76956864
122,1.523624797,0.761812399
123,1.513581304,0.756790652
124,1.507785075,0.753892538
125,1.503196068,0.751598034
126,1.49782206,0.74891103
127,1.492848535,0.746424268
128,1.49241439,0.746207195
129,1.487482777,0.743741389
130,1.482535149,0.741267575
131,1.482787432,0.741393716
132,1.47697118,0.73848559
133,1.481901555,0.740950778
134,1.49813662,0.74906831
135,1.482077521,0.741038761
136,1.477115531,0.738557766
137,1.472077278,0.736038639
138,1.472248014,0.736124007
139,1.467010667,0.733505334
140,1.46176725,0.730883625
141,1.456695267,0.728347634
142,1.451354973,0.725677487
143,1.451615926,0.725807963
144,1.446816133,0.723408067
145,1.446757061,0.723378531
146,1.441379748,0.720689874
147,1.436245625,0.718122813
148,1.436815415,0.718407708
149,1.436294515,0.718147258
150,1.441857532,0.720928766
151,1.467206348,0.733603174
152,1.451864037,0.725932019
153,1.447137975,0.723568988
154,1.441790587,0.720895294
155,1.431630948,0.715815474
156,1.431808425,0.715904213
157,1.426256259,0.71312813
158,1.426087753,0.713043877
168,1.432455272,0.716227636
