cycle,capacity,SOH
5,1.467139167,0.733569584
6,1.448858157,0.724429079
7,1.445853418,0.722926709
8,1.431118266,0.715559133
9,1.419274552,0.709637276
10,1.399997422,0.699998711
11,1.388515669,0.694257835
12,1.365223467,0.682611734
13,1.406044227,0.703022114
14,1.405754161,0.702877081
15,1.386766288,0.693383144
16,1.370505306,0.685252653
17,1.349743111,0.674871556
18,1.325153337,0.662576669
19,1.311194387,0.655597194
21,1.339423441,0.669711721
22,1.284915714,0.642457857
23,1.281719159,0.64085958
24,1.260005164,0.630002582
25,1.266070386,0.633035193
26,1.241359029,0.620679515
27,1.22988737,0.614943685
28,1.228088615,0.614044308
29,1.213985719,0.60699286
30,1.217343506,0.608671753
31,1.207344594,0.603672297
32,1.188040492,0.594020246
33,1.18630475,0.593152375
34,1.261393547,0.630696774
35,1.264824616,0.632412308
36,1.246649455,0.623324728
37,1.233392415,0.616696208
38,1.212925007,0.606462504
39,1.19991066,0.59995533
40,1.190255904,0.595127952
41,1.18925638,0.59462819
42,1.167069685,0.583534843
43,1.16153484,0.58076742
44,1.155556384,0.577778192
45,1.148852467,0.574426234
46,1.143572987,0.571786494
47,1.141801538,0.570900769
48,1.136058648,0.568029324
49,1.123636468,0.561818234
50,1.13204989,0.566024945
51,1.117010176,0.558505088
52,1.12004304,0.56002152
55,1.190790237,0.595395119
56,1.201238709,0.600619355
57,1.190690955,0.595345478
58,1.176437573,0.588218787
59,1.162811037,0.581405519
60,1.151615284,0.575807642
61,1.15836735,0.579183675
62,1.169228529,0.584614265
63,1.158814848,0.579407424
64,1.143958815,0.571979408
65,1.138394107,0.569197054
67,1.221310285,0.610655143
68,1.203106298,0.601553149
69,1.189714711,0.594857356
70,1.177422569,0.588711285
71,1.158443027,0.579221514
72,1.156708752,0.578354376
