cycle,capacity,SOH
5,1.461856891,0.730928446
6,1.450959271,0.725479636
7,1.451746997,0.725873499
8,1.444392866,0.722196433
9,1.432738324,0.716369162
10,1.417241201,0.708620601
11,1.405755994,0.702877997
12,1.390270627,0.695135314
13,1.419665931,0.709832966
14,1.419056399,0.7095282
15,1.404272357,0.702136179
16,1.391614049,0.695807025
17,1.374961835,0.687480918
18,1.354515571,0.677257786
19,1.344022307,0.672011154
21,1.372384476,0.686192238
22,1.318410575,0.659205288
23,1.31127276,0.65563638
24,1.297017242,0.648508621
25,1.299521953,0.649760977
26,1.282615407,0.641307704
27,1.275289015,0.637644508
28,1.273557247,0.636778624
29,1.259411433,0.629705717
30,1.263163259,0.63158163
31,1.249171731,0.624585866
32,1.233984348,0.616992174
33,1.240031992,0.620015996
34,1.303708572,0.651854286
35,1.315055963,0.657527982
36,1.28887383,0.644436915
37,1.28771376,0.64385688
38,1.267337999,0.633669
39,1.250594346,0.625297173
40,1.248713118,0.624356559
41,1.248002326,0.624001163
42,1.230089524,0.615044762
43,1.224419712,0.612209856
44,1.218668285,0.609334143
45,1.203786524,0.601893262
46,1.19476423,0.597382115
47,1.205209189,0.602604595
48,1.195574659,0.59778733
49,1.18884971,0.594424855
50,1.191560525,0.595780263
51,1.172658715,0.586329358
52,1.184113387,0.592056694
55,1.259355851,0.629677926
56,1.265883375,0.632941688
57,1.247259867,0.623629934
58,1.232808747,0.616404374
59,1.231959278,0.615979639
60,1.220785786,0.610392893
61,1.22754413,0.613772065
62,1.238678841,0.619339421
63,1.228357776,0.614178888
64,1.209548151,0.604774076
65,1.208214207,0.604107104
67,1.299873454,0.649936727
68,1.269122065,0.634561033
69,1.255514463,0.627757232
70,1.251987693,0.625993847
71,1.2374982,0.6187491
72,1.223127397,0.611563699
